c,mn,si,cr,ni,mo,v,n,nb,co,w,al,ti
0.02,0.05,0.05,0.01,19.70,2.95,0.01,0.00,0.01,15.00,0.00,0.15,1.55
0.18,0.01,0.01,13.44,0.01,3.01,0.46,0.04,0.01,19.46,2.35,0.04,0.00
0.00,0.01,0.01,8.67,13.45,0.82,0.01,0.00,0.01,13.90,0.00,0.39,0.57
0.01,0.05,0.05,0.01,17.70,3.95,0.01,0.00,0.01,15.00,0.00,0.13,1.47
0.01,0.05,0.05,0.01,19.40,1.45,0.01,0.00,0.01,14.90,0.00,0.13,1.55
0.19,0.02,0.49,12.56,0.94,1.96,0.01,0.00,0.01,20.10,0.00,0.03,0.00
0.00,0.05,0.05,0.01,18.10,3.60,0.01,0.00,0.01,13.00,0.00,0.11,2.25
0.10,0.57,0.24,12.19,0.01,8.90,0.01,0.02,0.01,15.20,0.00,0.03,0.00
0.01,0.01,1.99,17.50,2.10,0.02,0.01,0.00,0.01,11.80,0.00,0.03,0.05
0.16,0.01,0.01,14.56,0.01,4.90,0.48,0.05,0.01,15.60,0.00,0.04,0.00
0.01,0.05,0.05,0.01,18.00,3.60,0.01,0.00,0.01,13.00,0.00,0.08,1.88
0.00,0.05,0.05,0.01,18.10,3.50,0.01,0.00,0.01,13.00,0.00,0.10,1.62
0.16,0.01,0.01,13.56,0.01,4.70,0.40,0.04,0.01,16.20,0.00,0.04,0.00
0.00,0.05,0.05,0.01,18.00,3.60,0.50,0.00,0.01,12.00,0.00,0.02,1.90
0.16,0.01,0.01,14.24,0.01,7.15,0.41,0.03,0.01,13.60,0.00,0.04,0.00
0.20,0.01,0.01,14.13,0.92,1.99,0.01,0.00,0.08,17.00,0.00,0.03,0.00
0.02,0.05,0.05,0.01,17.00,4.07,0.69,0.00,0.01,12.30,0.00,0.16,1.58
0.16,0.01,0.67,14.50,0.01,5.09,0.41,0.02,0.01,13.41,0.00,0.04,0.00
0.01,0.01,0.01,0.01,15.00,6.02,0.01,0.00,0.01,14.80,0.00,0.03,0.62
0.01,0.01,1.93,15.60,4.10,0.02,0.01,0.00,0.01,10.50,0.00,0.03,0.06
0.01,0.05,0.05,0.01,17.50,4.15,0.01,0.00,0.01,11.50,0.00,0.62,1.48
0.01,0.05,0.05,0.01,17.20,3.95,0.01,0.00,0.01,12.20,0.00,0.23,1.78
0.07,0.01,0.01,15.54,0.01,4.99,0.41,0.03,0.01,13.41,0.00,0.03,0.00
0.16,0.56,0.01,14.46,0.01,5.12,0.41,0.03,0.01,13.41,0.00,0.05,0.00
0.16,0.01,0.03,13.99,1.09,4.95,0.01,0.00,0.27,13.94,0.00,0.03,0.00
0.20,0.01,0.51,12.51,0.95,1.97,0.01,0.00,0.08,17.06,0.00,0.03,0.00
0.01,0.01,0.01,11.14,8.01,4.99,0.01,0.00,0.01,8.62,0.00,1.22,0.01
0.01,0.01,0.01,0.01,15.10,5.10,0.01,0.00,0.01,15.30,0.00,0.03,0.20
0.15,0.01,0.01,14.48,0.01,5.06,0.46,0.15,0.01,13.49,0.00,0.05,0.00
0.16,0.01,0.01,14.34,0.01,5.09,0.87,0.04,0.01,13.45,0.00,0.05,0.00
0.01,0.05,0.05,0.01,17.50,3.90,0.01,0.00,0.01,11.80,0.00,0.17,1.54
0.21,0.01,0.01,14.60,0.01,5.02,0.41,0.02,0.01,13.48,0.00,0.05,0.00
0.21,0.01,0.01,14.58,0.01,5.02,0.46,0.02,0.01,13.45,0.00,0.05,0.00
0.01,0.01,0.01,10.96,7.97,5.00,0.01,0.00,0.01,8.55,0.00,1.21,0.01
0.21,0.43,0.50,12.53,1.18,2.06,0.01,0.00,0.01,15.95,0.00,0.03,0.00
0.00,0.01,0.01,10.97,7.99,4.98,0.01,0.00,0.01,8.51,0.00,1.19,0.02
0.07,0.57,0.32,11.76,0.01,6.32,0.01,0.05,0.01,15.20,0.00,0.03,0.00
0.20,0.01,0.03,14.09,0.01,1.98,0.01,0.00,0.08,16.62,0.00,0.03,0.00
0.21,0.01,1.99,12.58,0.94,1.98,0.01,0.00,0.08,13.88,0.00,0.03,0.00
0.09,0.66,0.27,12.28,0.01,0.02,0.01,0.03,0.01,14.80,8.00,0.03,0.00
0.12,0.01,0.01,14.52,0.01,5.09,0.43,0.03,0.01,13.48,0.00,0.03,0.00
0.17,0.01,0.01,14.26,0.01,5.09,0.41,0.03,0.01,13.64,0.00,0.03,0.00
0.01,0.05,0.05,0.01,14.70,1.50,0.01,0.00,0.01,15.30,0.00,0.76,1.16
0.04,0.55,0.27,12.29,0.01,5.85,0.01,0.03,0.01,15.00,0.00,0.03,0.00
0.08,0.01,0.01,14.48,0.01,4.99,0.46,0.07,0.01,13.56,0.00,0.03,0.00
0.20,0.51,0.52,12.66,1.02,1.99,0.01,0.00,0.01,15.56,0.00,0.03,0.00
0.10,0.51,0.32,12.00,0.01,6.30,0.01,0.04,0.01,14.60,0.00,0.03,0.00
0.12,0.01,0.01,14.40,0.01,4.99,0.41,0.03,0.01,13.45,0.00,0.05,0.00
0.01,0.01,0.01,0.01,14.80,2.50,0.01,0.00,0.01,15.00,0.00,0.03,1.80
0.01,0.01,0.01,0.01,18.50,4.80,0.43,0.00,0.01,8.70,0.00,0.95,0.72
0.02,0.01,1.86,15.90,4.00,0.02,0.01,0.00,0.01,9.20,0.00,0.02,0.05
0.16,0.01,0.01,14.36,0.01,5.15,0.01,0.03,0.01,13.45,0.00,0.07,0.00
0.20,0.51,0.51,12.59,1.03,1.98,0.01,0.00,0.01,15.40,0.00,0.03,0.00
0.24,0.01,0.01,8.90,8.70,1.50,0.28,0.00,0.01,13.00,0.00,0.03,0.02
0.15,0.01,0.01,14.50,0.01,5.00,0.01,0.00,0.01,13.50,0.00,0.05,0.00
0.01,0.01,0.01,0.01,18.50,4.70,0.01,0.00,0.01,8.80,0.00,1.02,0.71
0.01,0.01,0.01,0.01,14.90,3.15,0.01,0.00,0.01,15.30,0.00,0.03,0.70
0.20,0.01,1.50,12.63,0.94,1.98,0.01,0.00,0.08,13.83,0.00,0.03,0.00
0.01,0.01,0.01,8.14,11.95,0.02,0.01,0.00,0.01,10.48,0.00,0.39,1.11
0.09,0.63,0.37,12.30,0.01,3.97,0.01,0.04,0.01,15.20,0.00,0.03,0.00
0.15,0.01,0.01,14.13,0.14,4.80,0.21,0.00,0.01,13.33,0.00,0.03,0.00
0.00,0.01,0.01,11.85,10.25,1.47,0.01,0.00,0.01,7.48,0.00,0.43,0.56
0.00,0.01,0.01,10.09,6.98,5.48,0.01,0.01,0.01,10.96,0.00,0.03,0.00
0.01,0.01,0.01,0.01,18.50,4.90,0.39,0.00,0.01,8.70,0.00,0.51,0.65
0.16,0.01,0.01,14.36,0.01,3.01,0.97,0.03,0.01,13.33,0.00,0.05,0.00
0.19,0.46,0.49,12.67,0.95,1.49,0.01,0.00,0.01,15.10,0.00,0.03,0.00
0.11,0.01,0.01,9.20,3.70,2.00,0.50,0.00,0.01,16.70,0.00,0.03,0.03
0.19,0.02,0.49,12.54,0.96,1.49,0.46,0.00,0.01,15.10,0.00,0.03,0.00
0.20,0.01,0.51,12.51,0.95,1.98,0.01,0.00,0.08,15.16,0.00,0.03,0.00
0.15,0.01,0.01,14.36,0.01,5.09,0.41,0.03,0.01,12.23,0.00,0.04,0.00
0.16,0.01,0.01,14.40,0.01,5.28,0.41,0.13,0.01,11.74,0.00,0.04,0.00
0.20,0.02,0.49,12.55,0.94,1.97,0.01,0.00,0.02,15.08,0.00,0.03,0.00
0.15,0.01,0.01,14.36,0.01,3.04,0.41,0.03,0.01,13.64,0.00,0.03,0.00
0.17,0.01,0.01,14.48,0.01,5.22,0.41,0.12,0.01,11.41,0.00,0.13,0.00
0.20,0.01,1.00,12.60,0.94,1.98,0.21,0.00,0.08,13.77,0.00,0.03,0.00
0.19,0.01,0.49,12.53,0.96,1.48,0.33,0.00,0.01,14.95,0.00,0.03,0.00
0.22,0.01,1.01,12.61,0.94,1.98,0.01,0.00,0.08,13.78,0.00,0.03,0.00
0.24,0.01,0.01,8.90,7.40,1.70,0.28,0.00,0.01,13.00,0.00,0.03,0.03
0.25,0.01,0.01,14.09,0.93,2.00,0.01,0.00,0.08,13.88,0.00,0.03,0.00
0.01,0.01,0.01,8.84,10.81,1.19,0.41,0.00,0.01,9.24,0.00,0.43,0.57
0.01,0.04,0.04,9.90,6.99,2.75,0.00,0.00,0.00,8.02,2.43,1.80,0.00
0.01,0.01,0.01,0.01,14.60,3.10,0.01,0.00,0.01,15.40,0.00,0.03,0.12
0.02,0.01,1.82,13.90,5.10,0.02,0.01,0.00,0.01,8.90,0.00,0.02,0.04
0.01,0.01,0.01,7.74,11.91,0.98,0.01,0.00,0.01,9.95,0.00,0.27,0.71
0.21,0.01,0.01,14.08,0.93,2.00,0.01,0.00,0.08,13.83,0.00,0.03,0.00
0.35,0.01,0.01,9.00,1.50,2.00,0.30,0.00,0.01,18.00,0.00,0.03,0.02
0.00,0.01,0.01,11.11,10.00,1.23,0.01,0.00,0.01,7.51,0.28,0.57,0.59
0.19,0.01,0.50,12.53,0.95,1.48,0.01,0.00,0.01,15.02,0.00,0.03,0.00
0.01,0.01,0.01,10.12,7.01,5.48,0.01,0.00,0.01,10.05,0.00,0.03,0.00
0.04,0.01,0.01,0.01,18.80,6.00,0.01,0.00,0.01,8.00,0.00,0.16,0.42
0.15,0.01,0.01,14.01,0.93,1.99,0.01,0.00,0.08,13.76,0.00,0.03,0.00
0.17,0.01,0.78,12.54,0.95,1.99,0.01,0.00,0.08,13.99,0.00,0.03,0.00
0.21,0.01,0.56,12.54,0.99,1.97,0.34,0.00,0.08,13.76,0.00,0.03,0.00
0.18,0.11,0.09,0.01,17.80,0.02,4.32,0.00,0.01,8.06,0.00,0.11,0.08
0.21,0.01,0.73,12.51,0.94,1.98,0.01,0.00,0.08,13.78,0.00,0.03,0.00
0.01,0.01,1.72,15.70,4.10,0.02,0.01,0.00,0.01,7.40,0.00,0.02,0.04
0.19,0.01,0.73,12.47,0.95,1.98,0.01,0.00,0.08,13.78,0.00,0.03,0.00
0.22,0.01,0.01,8.50,4.60,1.50,0.28,0.00,0.01,15.30,0.50,0.03,0.03
0.21,0.01,0.50,12.55,0.94,1.98,0.01,0.00,0.08,13.75,0.00,0.03,0.00
0.23,0.01,0.52,12.47,0.95,1.97,0.01,0.00,0.08,13.78,0.00,0.03,0.00
0.03,0.01,0.01,0.01,18.40,4.90,0.01,0.00,0.01,7.00,0.00,0.15,1.77
0.19,0.01,0.50,12.64,0.98,1.95,0.01,0.00,0.02,13.67,0.00,0.03,0.00
0.20,0.01,0.01,13.82,1.13,0.99,0.01,0.00,0.09,13.74,0.00,0.03,0.00
0.21,0.01,0.01,14.04,0.01,1.99,0.01,0.00,0.08,13.79,0.00,0.03,0.00
0.21,0.01,0.37,12.59,0.96,1.98,0.01,0.00,0.08,13.75,0.00,0.03,0.00
0.01,0.01,0.01,0.01,17.00,4.80,0.34,0.00,0.01,8.70,0.00,0.39,0.67
0.02,0.01,0.01,0.01,14.50,0.92,0.01,0.00,0.01,15.40,0.00,0.03,0.41
0.01,0.05,0.05,0.01,17.40,4.97,0.01,0.00,0.01,7.90,0.00,0.13,1.50
0.20,0.01,0.30,12.46,0.95,1.97,0.01,0.00,0.08,13.75,0.00,0.03,0.00
0.16,0.01,0.01,14.26,0.01,4.93,0.46,0.03,0.01,10.55,0.00,0.04,0.00
0.02,0.01,0.01,0.01,14.70,0.02,0.01,0.00,0.01,15.50,0.00,0.03,0.43
0.20,0.01,0.01,12.43,1.21,2.01,0.01,0.00,0.08,13.82,0.00,0.03,0.00
0.00,0.01,0.01,14.30,8.30,2.60,0.01,0.00,0.01,4.30,0.00,0.10,0.49
0.00,0.01,0.01,14.30,8.40,2.50,0.01,0.00,0.01,4.30,0.00,0.12,0.47
0.02,0.01,1.93,13.90,6.00,0.02,0.01,0.00,0.01,6.00,0.00,0.03,0.05
0.06,2.09,0.32,16.42,5.14,1.51,0.01,0.00,0.01,2.03,0.00,0.88,0.00
0.19,0.01,0.01,12.61,0.99,1.98,0.01,0.00,0.07,13.79,0.00,0.03,0.00
0.20,0.01,0.01,11.94,2.48,0.99,0.01,0.00,0.10,13.64,0.00,0.03,0.00
0.01,0.01,0.01,0.01,15.20,5.10,0.01,0.00,0.01,9.20,0.00,0.90,0.70
0.01,0.01,0.01,0.01,15.10,5.10,0.01,0.00,0.01,9.20,0.00,0.92,0.70
0.02,0.01,1.92,15.50,3.90,0.02,0.01,0.00,0.01,6.00,0.00,0.04,0.07
0.23,0.01,0.36,12.60,0.95,1.97,0.01,0.00,0.08,12.77,0.00,0.03,0.00
0.25,0.01,0.01,9.00,6.20,1.30,0.29,0.00,0.01,12.20,0.00,0.03,0.03
0.02,0.01,0.01,0.01,18.60,5.10,0.01,0.00,0.01,6.70,0.00,0.12,0.89
0.02,0.01,0.01,0.01,18.60,5.10,0.01,0.00,0.01,6.90,0.00,0.12,0.64
0.24,0.01,0.01,8.90,5.10,1.70,0.29,0.00,0.01,13.00,0.00,0.03,0.03
0.22,0.01,0.01,3.03,11.17,1.18,0.01,0.00,0.01,13.89,0.00,0.03,0.01
0.01,0.01,0.01,0.01,15.30,5.10,0.01,0.00,0.01,9.10,0.00,0.60,0.68
0.15,0.01,0.01,9.00,4.80,1.50,0.50,0.00,0.01,13.00,0.00,0.03,0.02
0.20,0.01,0.01,10.53,2.49,1.98,0.01,0.00,0.10,13.67,0.00,0.03,0.00
0.23,0.01,0.01,3.11,11.26,1.19,0.01,0.00,0.01,13.48,0.00,0.01,0.01
0.03,0.01,0.01,0.01,15.00,5.00,0.01,0.00,0.20,8.80,0.00,0.98,0.26
0.03,0.01,0.01,0.01,18.30,5.10,0.01,0.00,0.01,6.70,0.00,0.11,0.70
0.10,0.62,0.37,12.20,0.01,6.15,0.01,0.03,0.01,10.20,0.00,0.03,0.00
0.22,0.01,0.01,3.11,11.22,1.19,0.01,0.00,0.01,13.51,0.00,0.01,0.01
0.21,0.01,0.01,3.10,11.18,1.19,0.01,0.00,0.01,13.52,0.00,0.01,0.01
0.23,0.01,0.01,3.10,11.08,1.19,0.01,0.00,0.01,13.49,0.00,0.01,0.01
0.23,0.01,0.01,3.11,11.16,1.18,0.01,0.00,0.01,13.46,0.00,0.01,0.01
0.24,0.01,0.01,3.12,11.06,1.19,0.01,0.00,0.01,13.46,0.00,0.01,0.01
0.03,0.60,0.30,14.50,8.50,2.50,0.01,0.00,0.01,0.01,0.00,1.20,0.00
0.21,0.01,0.01,3.11,11.11,1.19,0.01,0.00,0.01,13.48,0.00,0.01,0.01
0.23,0.01,0.02,3.12,11.03,1.20,0.01,0.00,0.01,13.45,0.00,0.01,0.01
0.08,0.59,0.30,12.16,0.01,6.30,0.01,0.05,0.01,10.00,0.00,0.03,0.00
0.02,0.01,0.01,0.01,18.10,4.80,0.01,0.00,0.30,6.80,0.00,0.09,0.41
0.01,0.01,0.03,7.93,10.02,0.20,0.00,0.01,0.00,8.14,2.29,0.20,0.49
0.07,0.60,0.30,17.00,7.00,0.02,0.01,0.00,0.01,0.01,0.00,1.20,0.00
0.02,0.01,0.01,5.10,11.20,5.10,0.01,0.00,0.01,6.20,0.00,0.71,0.94
0.02,0.01,0.01,5.10,11.20,5.10,0.49,0.00,0.01,6.30,0.00,0.41,0.74
0.09,2.80,0.32,17.48,4.44,0.02,0.01,0.00,0.01,0.01,0.00,0.90,0.00
0.01,0.01,0.01,5.10,11.20,5.10,0.94,0.00,0.01,6.30,0.00,0.09,0.78
0.02,0.01,0.01,0.01,14.60,5.00,0.43,0.00,0.20,8.90,0.00,0.48,0.20
0.02,0.01,0.01,0.01,14.90,4.80,0.26,0.00,0.01,8.70,0.00,0.36,0.71
0.04,0.44,0.32,12.00,0.01,6.16,0.01,0.03,0.01,10.00,0.00,0.03,0.00
0.04,0.01,0.01,0.01,15.00,5.00,0.01,0.00,0.20,8.80,0.00,0.50,0.24
