c,mn,si,cr,ni,mo,v,n,nb,co,w,al,ti
0.21,0.01,0.60,8.20,2.60,1.30,0.29,0.00,0.01,14.20,0.00,0.03,0.02
0.01,0.01,0.01,5.00,11.20,5.00,0.01,0.00,0.01,6.20,0.00,0.09,1.81
0.17,0.16,0.05,2.97,10.02,1.21,0.01,0.00,0.01,13.74,0.00,0.01,0.00
0.07,0.60,0.30,15.00,7.00,2.25,0.01,0.00,0.01,0.01,0.00,1.20,0.00
0.03,0.05,0.17,0.01,16.40,0.02,4.00,0.00,0.01,6.90,0.00,0.10,0.14
0.35,0.07,4.75,0.01,18.50,0.02,0.01,0.00,0.01,0.01,0.00,0.03,0.00
0.01,0.01,0.01,5.00,11.10,5.10,0.01,0.00,0.01,6.30,0.00,0.10,1.29
0.09,1.00,0.50,17.50,4.20,2.75,0.01,0.10,0.01,0.01,0.00,0.03,0.00
0.19,0.01,0.01,6.80,2.80,2.40,0.28,0.00,0.01,14.20,1.30,0.03,0.02
0.09,0.50,0.28,17.12,4.18,2.02,0.01,0.00,0.01,2.02,0.00,0.03,0.00
0.10,0.53,0.26,12.32,0.01,0.02,0.01,0.03,0.01,9.75,6.00,0.03,0.00
0.16,0.16,0.05,1.97,10.05,1.00,0.01,0.00,0.01,13.88,0.00,0.01,0.00
0.16,0.06,0.04,1.95,10.15,0.98,0.01,0.00,0.01,13.80,0.00,0.01,0.01
0.02,0.01,0.01,5.00,11.10,4.80,0.01,0.00,0.01,6.20,0.00,0.09,0.82
0.11,0.58,0.22,11.89,0.01,3.88,0.01,0.02,0.01,10.20,0.00,0.03,0.00
0.24,0.01,0.01,9.10,2.80,1.30,0.37,0.00,0.01,12.40,0.00,0.03,0.03
0.23,0.01,0.01,9.00,2.80,1.30,0.30,0.00,0.01,12.50,0.00,0.03,0.03
0.02,0.01,0.01,0.01,13.00,5.00,0.47,0.00,0.01,8.90,0.00,0.20,0.71
0.18,0.01,0.01,9.10,2.80,1.30,0.29,0.00,0.01,12.50,0.00,0.03,0.03
0.24,0.01,0.01,9.00,2.80,1.30,0.29,0.00,0.01,12.40,0.00,0.03,0.02
0.10,3.00,0.30,17.00,4.20,0.02,0.01,0.00,0.01,0.01,0.00,0.03,0.00
0.15,0.16,0.05,2.97,10.06,1.00,0.01,0.00,0.01,12.05,0.00,0.01,0.00
0.09,2.16,0.18,16.92,4.26,1.04,0.01,0.00,0.01,0.01,0.00,0.03,0.00
0.03,0.01,0.01,12.64,8.44,2.24,0.01,0.00,0.01,0.01,0.00,1.31,0.01
0.02,0.10,4.27,0.01,18.10,0.02,0.01,0.00,0.01,0.01,0.00,0.07,0.09
0.15,0.16,0.06,2.01,10.08,1.22,0.01,0.00,0.01,12.15,0.00,0.01,0.00
0.03,0.01,0.01,12.51,8.36,2.22,0.01,0.00,0.01,0.01,0.00,1.06,0.09
0.04,0.01,0.02,12.52,8.63,2.10,0.01,0.00,0.01,0.01,0.00,1.00,0.00
0.03,0.01,0.01,12.49,8.31,2.21,0.01,0.01,0.01,0.01,0.00,1.06,0.09
0.03,0.01,0.01,12.49,8.31,2.22,0.01,0.00,0.01,0.01,0.00,1.07,0.05
0.03,0.01,0.01,12.52,8.34,2.21,0.01,0.01,0.01,0.01,0.00,1.06,0.02
0.03,0.01,0.01,12.57,8.29,2.22,0.01,0.01,0.01,0.01,0.00,1.05,0.01
0.03,0.01,0.01,12.54,8.38,2.24,0.01,0.00,0.01,0.01,0.00,1.03,0.01
0.04,0.01,0.01,12.49,8.30,2.23,0.01,0.00,0.01,0.01,0.00,1.07,0.01
0.04,0.01,0.01,12.51,8.32,2.22,0.01,0.00,0.01,0.01,0.00,1.06,0.05
0.04,0.01,0.01,12.45,8.33,2.20,0.01,0.00,0.01,0.01,0.00,1.04,0.10
0.12,0.18,0.06,2.01,10.07,1.00,0.01,0.00,0.01,12.10,0.00,0.01,0.00
0.03,0.01,0.01,12.51,8.28,2.20,0.01,0.01,0.01,0.01,0.00,1.05,0.05
0.03,0.01,0.01,12.51,8.31,2.22,0.01,0.00,0.01,0.01,0.00,1.06,0.02
0.03,0.01,0.01,12.56,8.31,2.22,0.01,0.00,0.01,0.01,0.00,1.02,0.01
0.04,0.01,0.01,12.49,8.30,2.21,0.01,0.00,0.01,0.01,0.00,1.02,0.09
0.04,0.01,0.01,12.46,8.34,2.24,0.01,0.00,0.01,0.01,0.00,1.04,0.01
0.03,0.01,0.01,12.47,8.31,2.20,0.01,0.00,0.01,0.01,0.00,1.03,0.02
0.20,0.01,0.01,8.20,2.10,1.30,0.29,0.00,0.01,12.40,0.00,0.03,0.02
0.04,0.01,0.01,12.35,8.27,2.21,0.01,0.00,0.01,0.01,0.00,1.04,0.03
0.13,1.00,0.25,15.50,4.20,2.75,0.01,0.10,0.01,0.01,0.00,0.03,0.00
0.14,3.00,0.24,15.69,4.14,0.02,0.01,0.00,0.01,0.01,0.00,0.03,0.00
0.04,0.01,0.01,12.58,8.39,2.20,0.01,0.00,0.01,0.01,0.00,0.77,0.02
0.12,0.54,1.20,12.02,2.00,3.01,0.35,0.05,0.41,4.00,0.00,0.03,0.00
0.01,0.07,0.11,11.30,10.30,2.05,0.01,0.00,0.01,0.01,0.00,0.24,0.23
0.04,0.01,0.04,12.44,8.26,2.19,0.01,0.00,0.01,0.01,0.00,0.77,0.02
0.40,0.16,0.01,12.14,0.01,5.84,0.96,0.00,0.01,4.92,0.00,0.03,0.00
0.03,0.01,0.01,11.20,9.61,0.02,0.01,0.00,0.01,0.01,4.00,0.39,0.26
0.04,0.01,0.01,12.38,8.25,2.20,0.01,0.00,0.01,0.01,0.00,0.81,0.03
0.01,0.01,0.01,0.01,21.00,2.10,0.01,0.00,0.01,0.01,0.00,0.13,1.90
0.01,0.10,3.30,0.01,18.50,0.02,0.01,0.00,0.01,0.01,0.00,0.05,0.11
0.01,0.01,0.01,10.50,10.30,3.10,0.01,0.00,0.01,0.01,0.00,0.36,0.11
0.02,0.74,0.10,10.20,10.20,1.98,0.01,0.00,0.01,0.01,0.00,0.30,0.22
0.01,0.05,0.02,10.60,10.60,2.06,0.01,0.00,0.01,0.01,0.00,0.36,0.08
0.10,0.50,0.30,12.00,2.00,0.02,0.01,0.00,0.01,5.00,6.00,0.03,0.00
0.00,0.10,0.41,10.20,10.40,2.00,0.01,0.00,0.01,0.01,0.00,0.25,0.23
0.01,0.05,0.10,7.70,12.20,3.05,0.01,0.00,0.01,0.01,0.00,0.63,0.20
0.02,0.11,3.18,0.01,18.30,0.02,0.01,0.00,0.01,0.01,0.00,0.03,0.00
0.00,0.07,0.10,10.40,10.40,2.20,0.01,0.00,0.01,0.01,0.00,0.25,0.24
0.00,0.11,0.30,10.20,10.40,2.05,0.01,0.00,0.01,0.01,0.00,0.20,0.22
0.01,0.08,0.05,9.40,10.70,3.20,0.01,0.00,0.01,0.01,0.00,0.27,0.22
0.03,0.01,0.01,10.70,9.46,2.45,0.01,0.00,0.01,0.01,0.00,0.46,0.28
0.00,0.05,0.02,11.20,9.90,2.05,0.01,0.00,0.01,0.01,0.00,0.13,0.30
0.00,0.36,0.08,10.20,10.30,2.02,0.01,0.00,0.01,0.01,0.00,0.30,0.23
0.00,0.44,0.08,10.10,10.30,2.00,0.01,0.00,0.01,0.01,0.00,0.30,0.22
0.01,0.11,0.18,10.20,10.30,2.05,0.01,0.00,0.01,0.01,0.00,0.27,0.22
0.01,0.03,0.03,10.20,10.50,2.20,0.01,0.00,0.01,0.01,0.00,0.23,0.24
0.01,0.12,0.06,10.30,10.20,2.05,0.01,0.00,0.01,0.01,0.00,0.31,0.21
0.01,0.05,0.09,7.65,12.20,3.05,0.01,0.00,0.01,0.01,0.00,0.46,0.20
0.02,0.24,0.10,10.20,10.30,1.94,0.01,0.00,0.01,0.01,0.00,0.24,0.23
0.00,0.05,0.02,10.40,10.00,2.05,0.01,0.00,0.01,0.01,0.00,0.35,0.31
0.01,0.01,0.01,0.01,17.50,2.10,2.00,0.00,0.01,0.01,0.00,0.12,2.00
0.02,0.48,0.10,10.00,10.00,1.92,0.01,0.00,0.01,0.01,0.00,0.29,0.21
0.00,0.05,0.02,10.30,10.20,2.06,0.01,0.00,0.01,0.01,0.00,0.35,0.17
0.00,0.12,0.07,9.90,10.50,2.10,0.01,0.00,0.01,0.01,0.00,0.23,0.22
0.36,0.22,0.01,6.75,0.01,5.75,0.96,0.00,0.01,9.46,0.00,0.03,0.00
0.02,0.06,0.13,10.40,9.90,2.15,0.01,0.00,0.01,0.01,0.00,0.09,0.13
0.03,0.05,0.11,7.50,12.10,3.05,0.01,0.00,0.01,0.01,0.00,0.25,0.20
0.00,0.05,0.03,10.30,10.30,2.06,0.01,0.00,0.01,0.01,0.00,0.09,0.09
0.01,0.07,0.10,7.70,12.00,3.02,0.01,0.00,0.01,0.01,0.00,0.08,0.06
0.03,0.01,0.01,11.30,8.64,0.02,0.01,0.00,0.01,0.01,1.84,0.39,0.27
0.01,0.08,0.12,9.00,8.50,3.25,0.01,0.00,0.01,0.01,0.00,0.90,0.23
0.02,0.06,0.08,7.40,10.30,3.25,0.01,0.00,0.01,0.01,0.00,0.91,0.23
0.00,0.12,0.08,10.40,9.20,1.97,0.01,0.00,0.01,0.01,0.00,0.26,0.21
0.02,0.01,0.01,0.01,17.90,3.10,0.90,0.00,0.01,0.01,0.00,0.07,1.40
0.03,0.01,0.01,10.70,10.30,0.02,0.01,0.00,0.01,0.01,0.00,0.21,0.31
0.03,0.01,0.01,0.01,18.10,2.20,0.01,0.00,0.01,0.01,0.00,0.10,2.50
0.03,0.01,0.01,0.01,18.10,2.20,0.01,0.00,0.01,0.01,0.00,0.11,2.50
0.01,0.06,2.58,0.01,17.80,0.02,0.01,0.00,0.01,0.01,0.00,0.05,0.07
0.01,0.12,0.08,9.80,10.00,1.70,0.01,0.00,0.01,0.01,0.00,0.20,0.19
0.01,0.05,0.10,7.70,10.40,3.07,0.01,0.00,0.01,0.01,0.00,0.67,0.20
0.01,0.01,0.01,0.01,17.80,3.10,1.00,0.00,0.01,0.01,0.33,0.05,1.10
0.03,0.01,0.01,0.01,17.30,0.02,1.80,0.00,2.50,0.01,0.00,0.10,1.07
0.38,0.18,0.01,7.43,0.01,9.67,0.96,0.00,0.01,4.91,0.00,0.03,0.00
0.40,0.18,0.01,9.69,0.01,5.84,0.96,0.00,0.01,4.87,0.00,0.03,0.00
0.02,0.10,2.02,0.01,18.40,0.02,0.01,0.00,0.01,0.01,0.00,0.03,0.00
0.01,0.05,0.09,7.60,10.30,3.05,0.01,0.00,0.01,0.01,0.00,0.52,0.20
0.02,0.01,0.01,0.01,17.50,0.02,1.90,0.00,0.01,0.01,0.00,0.09,2.06
0.01,0.05,0.06,5.32,12.95,2.93,0.01,0.00,0.01,0.01,0.00,0.51,0.20
0.01,0.03,0.01,0.01,18.11,3.07,0.01,0.00,0.01,0.01,0.00,0.09,1.41
0.01,0.02,0.01,0.01,18.20,3.06,0.01,0.00,0.01,0.01,0.00,0.09,1.26
0.29,0.01,0.01,1.02,10.46,2.00,0.10,0.00,0.01,7.17,1.28,0.03,0.01
0.00,0.01,0.01,0.01,18.10,3.10,0.01,0.00,0.01,0.01,0.00,0.05,1.40
0.03,0.01,0.01,0.01,18.50,0.02,0.01,0.00,0.01,0.01,3.00,0.10,1.40
0.00,0.07,0.08,7.50,10.50,3.30,0.01,0.00,0.01,0.01,0.00,0.21,0.23
0.01,0.04,0.10,7.95,10.20,3.08,0.01,0.00,0.01,0.01,0.00,0.08,0.05
0.01,0.08,0.12,8.90,8.35,3.25,0.01,0.00,0.01,0.01,0.00,0.25,0.20
0.01,0.06,0.05,7.80,10.20,3.20,0.01,0.00,0.01,0.01,0.00,0.06,0.10
0.03,0.07,0.04,8.90,8.45,3.25,0.01,0.00,0.01,0.01,0.00,0.15,0.23
0.01,0.01,0.01,0.01,18.10,1.00,0.01,0.00,0.01,0.01,0.00,0.08,1.80
0.02,0.21,0.19,4.98,12.26,2.97,0.01,0.00,0.01,0.01,0.00,0.23,0.14
0.01,0.08,0.05,4.65,12.11,3.13,0.01,0.00,0.01,0.01,0.00,0.57,0.20
0.01,2.50,0.02,0.01,18.00,0.02,0.01,0.00,0.01,0.01,0.00,0.05,0.04
0.01,0.05,0.12,4.80,12.16,2.99,0.01,0.00,0.01,0.01,0.00,0.40,0.19
0.01,0.01,0.01,0.01,17.40,1.44,0.01,0.00,0.01,0.01,0.00,0.08,1.90
0.01,0.01,0.01,0.01,17.10,2.00,0.01,0.00,0.01,0.01,0.00,0.07,1.82
0.02,0.01,0.01,0.01,17.80,0.64,0.01,0.00,0.01,0.01,0.00,0.08,2.03
0.01,0.06,0.03,4.67,12.14,3.17,0.01,0.00,0.01,0.01,0.00,0.47,0.19
0.01,0.10,0.18,4.87,12.08,2.97,0.01,0.00,0.01,0.01,0.00,0.25,0.15
0.01,0.02,0.03,5.00,12.16,3.00,0.01,0.00,0.01,0.01,0.00,0.31,0.21
0.02,0.01,0.01,0.01,17.90,0.30,0.01,0.00,0.01,0.01,0.00,0.10,1.95
0.02,0.08,0.04,4.73,12.08,3.15,0.01,0.00,0.01,0.01,0.00,0.38,0.23
0.01,0.05,0.06,4.86,11.60,2.95,0.01,0.00,0.01,0.01,0.00,0.58,0.22
0.01,0.03,0.11,4.77,12.21,3.03,0.01,0.00,0.01,0.01,0.00,0.26,0.20
0.37,0.18,0.01,7.41,0.01,6.85,0.96,0.00,0.01,4.88,0.00,0.03,0.00
0.00,0.04,0.06,5.01,11.83,2.98,0.01,0.00,0.01,0.01,0.00,0.39,0.20
0.01,0.04,1.87,0.01,16.70,0.02,0.01,0.00,0.01,0.01,0.00,0.05,0.08
0.01,0.08,0.04,4.70,12.20,3.13,0.01,0.00,0.01,0.01,0.00,0.26,0.19
0.36,0.21,0.01,7.72,0.01,5.71,1.15,0.00,0.01,4.93,0.00,0.03,0.00
0.37,0.23,0.01,7.19,0.01,5.71,1.10,0.00,0.78,4.99,0.00,0.03,0.00
0.00,0.05,0.06,4.81,11.50,2.95,0.01,0.00,0.01,0.01,0.00,0.66,0.20
0.35,0.23,0.01,7.15,0.01,5.78,1.02,0.00,0.01,4.90,1.54,0.03,0.00
0.01,0.07,0.04,4.57,12.05,3.12,0.01,0.00,0.01,0.01,0.00,0.34,0.18
0.01,1.72,0.02,0.01,18.10,0.02,0.01,0.00,0.01,0.01,0.00,0.05,0.06
0.36,0.17,0.01,7.11,0.01,0.25,1.08,0.00,0.01,5.03,9.18,0.03,0.00
0.01,0.05,0.11,4.62,12.08,2.79,0.01,0.00,0.01,0.01,0.00,0.21,0.20
0.43,0.21,0.01,7.14,0.01,5.62,1.02,0.00,0.01,4.99,0.00,0.03,0.00
0.02,0.01,0.01,0.01,15.70,2.00,0.01,0.00,0.01,0.01,0.00,0.10,1.98
0.39,0.22,0.01,6.99,0.01,5.75,1.08,0.00,0.01,4.90,0.00,0.03,0.00
0.02,0.07,0.11,4.70,10.20,3.10,0.01,0.00,0.01,0.01,0.00,0.70,0.22
0.40,0.14,0.01,7.41,0.01,5.75,0.56,0.00,0.01,4.83,0.00,0.03,0.00
0.02,0.07,0.10,4.83,10.20,3.20,0.01,0.00,0.01,0.01,0.00,0.52,0.24
0.36,0.23,0.01,6.55,0.01,5.75,0.86,0.00,0.41,5.10,0.00,0.03,0.00
0.02,0.01,0.01,0.01,15.30,1.40,0.01,0.00,0.01,0.01,0.00,0.12,2.10
0.38,0.19,0.01,7.39,0.01,5.75,0.06,0.00,0.01,4.88,0.00,0.03,0.00
0.11,0.68,0.25,11.90,2.38,1.76,0.33,0.02,0.01,0.01,0.00,0.03,0.00
0.32,0.23,0.01,6.61,0.01,5.75,0.92,0.00,0.01,4.90,0.00,0.03,0.00
0.01,0.06,0.08,4.72,10.10,3.13,0.01,0.00,0.01,0.01,0.00,0.25,0.23
0.38,0.18,0.01,7.27,0.01,3.77,0.96,0.00,0.01,4.90,0.00,0.03,0.00
0.00,0.06,0.05,5.15,10.20,3.20,0.01,0.00,0.01,0.01,0.00,0.03,0.09
0.37,0.17,0.01,5.20,0.01,5.84,1.05,0.00,0.91,4.88,0.00,0.03,0.00
0.41,0.19,0.01,6.99,0.01,5.84,0.92,0.00,0.01,0.02,0.00,0.03,0.00
0.27,0.27,0.01,0.41,8.28,0.49,0.07,0.00,0.01,3.90,0.00,0.03,0.00
